Control_ID,Family_Name,Assessment_Status,Justification_Notes
AC-1,Access Control,Shared,Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-1(1),Access Control Enhancement,Shared,Enhancement requirement: Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-1(2),Access Control Enhancement,Shared,Enhancement requirement: Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-2,Access Control,Shared,Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-2(1),Access Control Enhancement,Shared,Enhancement requirement: Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-2(2),Access Control Enhancement,Shared,Enhancement requirement: Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-3,Access Control,Shared,Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-3(1),Access Control Enhancement,Shared,Enhancement requirement: Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-3(2),Access Control Enhancement,Shared,Enhancement requirement: Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-4,Access Control,Shared,Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-4(1),Access Control Enhancement,Shared,Enhancement requirement: Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-4(2),Access Control Enhancement,Shared,Enhancement requirement: Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-5,Access Control,Shared,Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-5(1),Access Control Enhancement,Shared,Enhancement requirement: Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-5(2),Access Control Enhancement,Shared,Enhancement requirement: Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-6,Access Control,Shared,Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-6(1),Access Control Enhancement,Shared,Enhancement requirement: Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-6(2),Access Control Enhancement,Shared,Enhancement requirement: Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-7,Access Control,Shared,Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-7(1),Access Control Enhancement,Shared,Enhancement requirement: Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-7(2),Access Control Enhancement,Shared,Enhancement requirement: Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-8,Access Control,Shared,Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-8(1),Access Control Enhancement,Shared,Enhancement requirement: Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-8(2),Access Control Enhancement,Shared,Enhancement requirement: Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-9,Access Control,Shared,Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-9(1),Access Control Enhancement,Shared,Enhancement requirement: Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-9(2),Access Control Enhancement,Shared,Enhancement requirement: Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-10,Access Control,Shared,Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-10(1),Access Control Enhancement,Shared,Enhancement requirement: Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-10(2),Access Control Enhancement,Shared,Enhancement requirement: Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-11,Access Control,Shared,Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-11(1),Access Control Enhancement,Shared,Enhancement requirement: Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-11(2),Access Control Enhancement,Shared,Enhancement requirement: Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-12,Access Control,Shared,Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-12(1),Access Control Enhancement,Shared,Enhancement requirement: Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-12(2),Access Control Enhancement,Shared,Enhancement requirement: Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-13,Access Control,Shared,Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-13(1),Access Control Enhancement,Shared,Enhancement requirement: Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-13(2),Access Control Enhancement,Shared,Enhancement requirement: Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-14,Access Control,Shared,Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-14(1),Access Control Enhancement,Shared,Enhancement requirement: Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-14(2),Access Control Enhancement,Shared,Enhancement requirement: Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-15,Access Control,Shared,Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-15(1),Access Control Enhancement,Shared,Enhancement requirement: Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-15(2),Access Control Enhancement,Shared,Enhancement requirement: Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-16,Access Control,Shared,Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-16(1),Access Control Enhancement,Shared,Enhancement requirement: Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-16(2),Access Control Enhancement,Shared,Enhancement requirement: Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-17,Access Control,Shared,Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-17(1),Access Control Enhancement,Shared,Enhancement requirement: Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-17(2),Access Control Enhancement,Shared,Enhancement requirement: Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-18,Access Control,Shared,Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-18(1),Access Control Enhancement,Shared,Enhancement requirement: Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-18(2),Access Control Enhancement,Shared,Enhancement requirement: Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-19,Access Control,Shared,Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-19(1),Access Control Enhancement,Shared,Enhancement requirement: Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-19(2),Access Control Enhancement,Shared,Enhancement requirement: Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-20,Access Control,Shared,Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-20(1),Access Control Enhancement,Shared,Enhancement requirement: Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-20(2),Access Control Enhancement,Shared,Enhancement requirement: Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-21,Access Control,Shared,Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-21(1),Access Control Enhancement,Shared,Enhancement requirement: Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-21(2),Access Control Enhancement,Shared,Enhancement requirement: Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-22,Access Control,Shared,Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-22(1),Access Control Enhancement,Shared,Enhancement requirement: Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-22(2),Access Control Enhancement,Shared,Enhancement requirement: Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-23,Access Control,Shared,Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-23(1),Access Control Enhancement,Shared,Enhancement requirement: Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-23(2),Access Control Enhancement,Shared,Enhancement requirement: Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-24,Access Control,Shared,Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-24(1),Access Control Enhancement,Shared,Enhancement requirement: Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-24(2),Access Control Enhancement,Shared,Enhancement requirement: Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-25,Access Control,Shared,Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-25(1),Access Control Enhancement,Shared,Enhancement requirement: Inherited IAM from Google Cloud; App-level RBAC implemented.
AC-25(2),Access Control Enhancement,Shared,Enhancement requirement: Inherited IAM from Google Cloud; App-level RBAC implemented.
AT-1,Awareness and Training,Pass,Mandatory security/privacy training for all developers.
AT-1(1),Awareness and Training Enhancement,Pass,Enhancement requirement: Mandatory security/privacy training for all developers.
AT-1(2),Awareness and Training Enhancement,Pass,Enhancement requirement: Mandatory security/privacy training for all developers.
AT-2,Awareness and Training,Pass,Mandatory security/privacy training for all developers.
AT-2(1),Awareness and Training Enhancement,Pass,Enhancement requirement: Mandatory security/privacy training for all developers.
AT-2(2),Awareness and Training Enhancement,Pass,Enhancement requirement: Mandatory security/privacy training for all developers.
AT-3,Awareness and Training,Pass,Mandatory security/privacy training for all developers.
AT-3(1),Awareness and Training Enhancement,Pass,Enhancement requirement: Mandatory security/privacy training for all developers.
AT-3(2),Awareness and Training Enhancement,Pass,Enhancement requirement: Mandatory security/privacy training for all developers.
AT-4,Awareness and Training,Pass,Mandatory security/privacy training for all developers.
AT-4(1),Awareness and Training Enhancement,Pass,Enhancement requirement: Mandatory security/privacy training for all developers.
AT-4(2),Awareness and Training Enhancement,Pass,Enhancement requirement: Mandatory security/privacy training for all developers.
AT-5,Awareness and Training,Pass,Mandatory security/privacy training for all developers.
AT-5(1),Awareness and Training Enhancement,Pass,Enhancement requirement: Mandatory security/privacy training for all developers.
AT-5(2),Awareness and Training Enhancement,Pass,Enhancement requirement: Mandatory security/privacy training for all developers.
AT-6,Awareness and Training,Pass,Mandatory security/privacy training for all developers.
AT-6(1),Awareness and Training Enhancement,Pass,Enhancement requirement: Mandatory security/privacy training for all developers.
AT-6(2),Awareness and Training Enhancement,Pass,Enhancement requirement: Mandatory security/privacy training for all developers.
AT-7,Awareness and Training,Pass,Mandatory security/privacy training for all developers.
